Ticker,Earnings_Date,Event_Window_Start,Event_Window_End,Trading_Days_Marked,Source
AAPL,2021-01-27,2021-01-12,2021-01-26,10,Investing.com
AAPL,2021-04-28,2021-04-14,2021-04-27,10,Investing.com
AAPL,2021-07-27,2021-07-13,2021-07-26,10,Investing.com
AAPL,2021-10-28,2021-10-14,2021-10-27,10,Investing.com
AAPL,2022-01-27,2022-01-12,2022-01-26,10,Investing.com
AAPL,2022-04-28,2022-04-13,2022-04-27,10,Investing.com
AAPL,2022-07-28,2022-07-14,2022-07-27,10,Investing.com
AAPL,2022-10-27,2022-10-13,2022-10-26,10,Investing.com
AAPL,2023-02-02,2023-01-19,2023-02-01,10,Investing.com
AAPL,2023-05-04,2023-04-20,2023-05-03,10,Investing.com
AAPL,2023-08-03,2023-07-20,2023-08-02,10,Investing.com
AAPL,2023-11-02,2023-10-19,2023-11-01,10,Investing.com
AAPL,2024-02-01,2024-01-18,2024-01-31,10,Investing.com
AAPL,2024-05-02,2024-04-18,2024-05-01,10,Investing.com
AAPL,2024-08-01,2024-07-18,2024-07-31,10,Investing.com
AAPL,2024-10-31,2024-10-17,2024-10-30,10,Investing.com
AAPL,2025-01-30,2025-01-15,2025-01-29,10,Investing.com
AAPL,2025-05-01,2025-04-16,2025-04-30,10,Investing.com
AAPL,2025-07-31,2025-07-17,2025-07-30,10,Investing.com
AAPL,2025-10-30,2025-10-16,2025-10-29,10,Investing.com
AMZN,2021-02-02,2021-01-19,2021-02-01,10,Investing.com
AMZN,2021-04-29,2021-04-15,2021-04-28,10,Investing.com
AMZN,2021-07-29,2021-07-15,2021-07-28,10,Investing.com
AMZN,2021-10-28,2021-10-14,2021-10-27,10,Investing.com
AMZN,2022-02-03,2022-01-20,2022-02-02,10,Investing.com
AMZN,2022-04-28,2022-04-13,2022-04-27,10,Investing.com
AMZN,2022-07-28,2022-07-14,2022-07-27,10,Investing.com
AMZN,2022-10-27,2022-10-13,2022-10-26,10,Investing.com
AMZN,2023-02-02,2023-01-19,2023-02-01,10,Investing.com
AMZN,2023-04-27,2023-04-13,2023-04-26,10,Investing.com
AMZN,2023-08-03,2023-07-20,2023-08-02,10,Investing.com
AMZN,2023-10-26,2023-10-12,2023-10-25,10,Investing.com
AMZN,2024-02-01,2024-01-18,2024-01-31,10,Investing.com
AMZN,2024-04-30,2024-04-16,2024-04-29,10,Investing.com
AMZN,2024-08-01,2024-07-18,2024-07-31,10,Investing.com
AMZN,2024-10-31,2024-10-17,2024-10-30,10,Investing.com
AMZN,2025-02-06,2025-01-23,2025-02-05,10,Investing.com
AMZN,2025-05-01,2025-04-16,2025-04-30,10,Investing.com
AMZN,2025-07-31,2025-07-17,2025-07-30,10,Investing.com
AMZN,2025-10-30,2025-10-16,2025-10-29,10,Investing.com
MSFT,2021-01-26,2021-01-11,2021-01-25,10,Investing.com
MSFT,2021-04-27,2021-04-13,2021-04-26,10,Investing.com
MSFT,2021-07-27,2021-07-13,2021-07-26,10,Investing.com
MSFT,2021-10-26,2021-10-12,2021-10-25,10,Investing.com
MSFT,2022-01-25,2022-01-10,2022-01-24,10,Investing.com
MSFT,2022-04-26,2022-04-11,2022-04-25,10,Investing.com
MSFT,2022-07-26,2022-07-12,2022-07-25,10,Investing.com
MSFT,2022-10-25,2022-10-11,2022-10-24,10,Investing.com
MSFT,2023-01-24,2023-01-09,2023-01-23,10,Investing.com
MSFT,2023-04-25,2023-04-11,2023-04-24,10,Investing.com
MSFT,2023-07-25,2023-07-11,2023-07-24,10,Investing.com
MSFT,2023-10-24,2023-10-10,2023-10-23,10,Investing.com
MSFT,2024-01-30,2024-01-16,2024-01-29,10,Investing.com
MSFT,2024-04-25,2024-04-11,2024-04-24,10,Investing.com
MSFT,2024-07-30,2024-07-16,2024-07-29,10,Investing.com
MSFT,2024-10-30,2024-10-16,2024-10-29,10,Investing.com
MSFT,2025-01-29,2025-01-14,2025-01-28,10,Investing.com
MSFT,2025-04-30,2025-04-15,2025-04-29,10,Investing.com
MSFT,2025-07-30,2025-07-16,2025-07-29,10,Investing.com
MSFT,2025-10-29,2025-10-15,2025-10-28,10,Investing.com
NVDA,2021-02-24,2021-02-09,2021-02-23,10,Investing.com
NVDA,2021-05-26,2021-05-12,2021-05-25,10,Investing.com
NVDA,2021-08-18,2021-08-04,2021-08-17,10,Investing.com
NVDA,2021-11-17,2021-11-03,2021-11-16,10,Investing.com
NVDA,2022-02-16,2022-02-02,2022-02-15,10,Investing.com
NVDA,2022-05-25,2022-05-11,2022-05-24,10,Investing.com
NVDA,2022-08-24,2022-08-10,2022-08-23,10,Investing.com
NVDA,2022-11-16,2022-11-02,2022-11-15,10,Investing.com
NVDA,2023-02-22,2023-02-07,2023-02-21,10,Investing.com
NVDA,2023-05-24,2023-05-10,2023-05-23,10,Investing.com
NVDA,2023-08-23,2023-08-09,2023-08-22,10,Investing.com
NVDA,2023-11-21,2023-11-07,2023-11-20,10,Investing.com
NVDA,2024-02-21,2024-02-06,2024-02-20,10,Investing.com
NVDA,2024-05-22,2024-05-08,2024-05-21,10,Investing.com
NVDA,2024-08-28,2024-08-14,2024-08-27,10,Investing.com
NVDA,2024-11-20,2024-11-06,2024-11-19,10,Investing.com
NVDA,2025-02-26,2025-02-11,2025-02-25,10,Investing.com
NVDA,2025-05-28,2025-05-13,2025-05-27,10,Investing.com
NVDA,2025-08-27,2025-08-13,2025-08-26,10,Investing.com
NVDA,2025-11-19,2025-11-05,2025-11-18,10,Investing.com
TSLA,2021-01-27,2021-01-12,2021-01-26,10,Investing.com
TSLA,2021-04-26,2021-04-12,2021-04-23,10,Investing.com
TSLA,2021-07-26,2021-07-12,2021-07-23,10,Investing.com
TSLA,2021-10-20,2021-10-06,2021-10-19,10,Investing.com
TSLA,2022-01-26,2022-01-11,2022-01-25,10,Investing.com
TSLA,2022-04-20,2022-04-05,2022-04-19,10,Investing.com
TSLA,2022-07-20,2022-07-06,2022-07-19,10,Investing.com
TSLA,2022-10-19,2022-10-05,2022-10-18,10,Investing.com
TSLA,2023-01-25,2023-01-10,2023-01-24,10,Investing.com
TSLA,2023-04-19,2023-04-04,2023-04-18,10,Investing.com
TSLA,2023-07-19,2023-07-05,2023-07-18,10,Investing.com
TSLA,2023-10-18,2023-10-04,2023-10-17,10,Investing.com
TSLA,2024-01-24,2024-01-09,2024-01-23,10,Investing.com
TSLA,2024-04-23,2024-04-09,2024-04-22,10,Investing.com
TSLA,2024-07-23,2024-07-09,2024-07-22,10,Investing.com
TSLA,2024-10-23,2024-10-09,2024-10-22,10,Investing.com
TSLA,2025-01-29,2025-01-14,2025-01-28,10,Investing.com
TSLA,2025-04-22,2025-04-07,2025-04-21,10,Investing.com
TSLA,2025-07-23,2025-07-09,2025-07-22,10,Investing.com
TSLA,2025-10-22,2025-10-08,2025-10-21,10,Investing.com
